,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,1,0,3,male,22.0,1,0,7.25,1,S
1,2,1,1,female,38.0,1,0,71.2833,C85,C
2,3,1,3,female,26.0,0,0,7.925,1,S
3,4,1,1,female,35.0,1,0,53.1,C123,S
4,5,0,3,male,35.0,0,0,8.05,1,S
5,6,0,3,male,29.69911764705882,0,0,8.4583,1,Q
6,7,0,1,male,54.0,0,0,51.8625,E46,S
7,8,0,3,male,2.0,3,1,21.075,1,S
8,9,1,3,female,27.0,0,2,11.1333,1,S
9,10,1,2,female,14.0,1,0,30.0708,1,C
10,11,1,3,female,4.0,1,1,16.7,G6,S
11,12,1,1,female,58.0,0,0,26.55,C103,S
12,13,0,3,male,20.0,0,0,8.05,1,S
13,14,0,3,male,39.0,1,5,31.275,1,S
14,15,0,3,female,14.0,0,0,7.8542,1,S
15,16,1,2,female,55.0,0,0,16.0,1,S
16,17,0,3,male,2.0,4,1,29.125,1,Q
17,18,1,2,male,29.69911764705882,0,0,13.0,1,S
18,19,0,3,female,31.0,1,0,18.0,1,S
19,20,1,3,female,29.69911764705882,0,0,7.225,1,C
20,21,0,2,male,35.0,0,0,26.0,1,S
21,22,1,2,male,34.0,0,0,13.0,D56,S
22,23,1,3,female,15.0,0,0,8.0292,1,Q
23,24,1,1,male,28.0,0,0,35.5,A6,S
24,25,0,3,female,8.0,3,1,21.075,1,S
25,26,1,3,female,38.0,1,5,31.3875,1,S
26,27,0,3,male,29.69911764705882,0,0,7.225,1,C
27,28,0,1,male,19.0,3,2,263.0,C23 C25 C27,S
28,29,1,3,female,29.69911764705882,0,0,7.8792,1,Q
29,30,0,3,male,29.69911764705882,0,0,7.8958,1,S
30,31,0,1,male,40.0,0,0,27.7208,1,C
31,32,1,1,female,29.69911764705882,1,0,146.5208,B78,C
32,33,1,3,female,29.69911764705882,0,0,7.75,1,Q
33,34,0,2,male,66.0,0,0,10.5,1,S
34,35,0,1,male,28.0,1,0,82.1708,1,C
35,36,0,1,male,42.0,1,0,52.0,1,S
36,37,1,3,male,29.69911764705882,0,0,7.2292,1,C
37,38,0,3,male,21.0,0,0,8.05,1,S
38,39,0,3,female,18.0,2,0,18.0,1,S
39,40,1,3,female,14.0,1,0,11.2417,1,C
40,41,0,3,female,40.0,1,0,9.475,1,S
41,42,0,2,female,27.0,1,0,21.0,1,S
42,43,0,3,male,29.69911764705882,0,0,7.8958,1,C
43,44,1,2,female,3.0,1,2,41.5792,1,C
44,45,1,3,female,19.0,0,0,7.8792,1,Q
45,46,0,3,male,29.69911764705882,0,0,8.05,1,S
46,47,0,3,male,29.69911764705882,1,0,15.5,1,Q
47,48,1,3,female,29.69911764705882,0,0,7.75,1,Q
48,49,0,3,male,29.69911764705882,2,0,21.6792,1,C
49,50,0,3,female,18.0,1,0,17.8,1,S
50,51,0,3,male,7.0,4,1,39.6875,1,S
51,52,0,3,male,21.0,0,0,7.8,1,S
52,53,1,1,female,49.0,1,0,76.7292,D33,C
53,54,1,2,female,29.0,1,0,26.0,1,S
54,55,0,1,male,65.0,0,1,61.9792,B30,C
55,56,1,1,male,29.69911764705882,0,0,35.5,C52,S
56,57,1,2,female,21.0,0,0,10.5,1,S
57,58,0,3,male,28.5,0,0,7.2292,1,C
58,59,1,2,female,5.0,1,2,27.75,1,S
59,60,0,3,male,11.0,5,2,46.9,1,S
60,61,0,3,male,22.0,0,0,7.2292,1,C
61,62,1,1,female,38.0,0,0,80.0,B28,
62,63,0,1,male,45.0,1,0,83.475,C83,S
63,64,0,3,male,4.0,3,2,27.9,1,S
64,65,0,1,male,29.69911764705882,0,0,27.7208,1,C
65,66,1,3,male,29.69911764705882,1,1,15.2458,1,C
66,67,1,2,female,29.0,0,0,10.5,F33,S
67,68,0,3,male,19.0,0,0,8.1583,1,S
68,69,1,3,female,17.0,4,2,7.925,1,S
69,70,0,3,male,26.0,2,0,8.6625,1,S
70,71,0,2,male,32.0,0,0,10.5,1,S
71,72,0,3,female,16.0,5,2,46.9,1,S
72,73,0,2,male,21.0,0,0,73.5,1,S
73,74,0,3,male,26.0,1,0,14.4542,1,C
74,75,1,3,male,32.0,0,0,56.4958,1,S
75,76,0,3,male,25.0,0,0,7.65,F G73,S
76,77,0,3,male,29.69911764705882,0,0,7.8958,1,S
77,78,0,3,male,29.69911764705882,0,0,8.05,1,S
78,79,1,2,male,0.83,0,2,29.0,1,S
79,80,1,3,female,30.0,0,0,12.475,1,S
80,81,0,3,male,22.0,0,0,9.0,1,S
81,82,1,3,male,29.0,0,0,9.5,1,S
82,83,1,3,female,29.69911764705882,0,0,7.7875,1,Q
83,84,0,1,male,28.0,0,0,47.1,1,S
84,85,1,2,female,17.0,0,0,10.5,1,S
85,86,1,3,female,33.0,3,0,15.85,1,S
86,87,0,3,male,16.0,1,3,34.375,1,S
87,88,0,3,male,29.69911764705882,0,0,8.05,1,S
88,89,1,1,female,23.0,3,2,263.0,C23 C25 C27,S
89,90,0,3,male,24.0,0,0,8.05,1,S
90,91,0,3,male,29.0,0,0,8.05,1,S
91,92,0,3,male,20.0,0,0,7.8542,1,S
92,93,0,1,male,46.0,1,0,61.175,E31,S
93,94,0,3,male,26.0,1,2,20.575,1,S
94,95,0,3,male,59.0,0,0,7.25,1,S
95,96,0,3,male,29.69911764705882,0,0,8.05,1,S
96,97,0,1,male,71.0,0,0,34.6542,A5,C
97,98,1,1,male,23.0,0,1,63.3583,D10 D12,C
98,99,1,2,female,34.0,0,1,23.0,1,S
99,100,0,2,male,34.0,1,0,26.0,1,S
100,101,0,3,female,28.0,0,0,7.8958,1,S
101,102,0,3,male,29.69911764705882,0,0,7.8958,1,S
102,103,0,1,male,21.0,0,1,77.2875,D26,S
103,104,0,3,male,33.0,0,0,8.6542,1,S
104,105,0,3,male,37.0,2,0,7.925,1,S
105,106,0,3,male,28.0,0,0,7.8958,1,S
106,107,1,3,female,21.0,0,0,7.65,1,S
107,108,1,3,male,29.69911764705882,0,0,7.775,1,S
108,109,0,3,male,38.0,0,0,7.8958,1,S
109,110,1,3,female,29.69911764705882,1,0,24.15,1,Q
110,111,0,1,male,47.0,0,0,52.0,C110,S
